Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 1363,IS 6005,11,13,5,0.455,42.378,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 6392,11,9,5,0.455,61.212,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 6639,11,5,5,0.455,110.182,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 806,11,11,5,0.455,50.083,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 816,11,19,5,0.455,28.995,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 875,11,48,5,0.455,11.477,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 9385,11,6,5,0.455,91.818,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1538,IS 1161,11,18,5,0.455,30.606,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 13947,11,37,5,0.455,14.889,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 1489,11,15,5,0.455,36.727,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 210,11,31,5,0.455,17.771,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 2379,11,8,5,0.455,68.864,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 2685,11,5,5,0.455,110.182,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 269,11,14,5,0.455,39.351,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 2705,11,29,5,0.455,18.997,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 2906,11,5,5,0.455,110.182,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 3156,11,18,5,0.455,30.606,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 3231,11,16,5,0.455,34.432,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 383,11,26,5,0.455,21.189,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 4985,11,23,5,0.455,23.953,Cited alongside IS 1538 in 5 of 11 comparable tenders
