Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2025/B/6059720,7647934.0,Unclassified,,0,,Not checked,,Read by OCR,5,11143,
GEM/2025/B/6062810,7651759.0,Unclassified,,0,,Not checked,,Read by OCR,1,316,
GEM/2025/B/6064279,7653535.0,Unclassified,,0,,Not checked,,Read by OCR,2,2451,
GEM/2025/B/6062400,7651280.0,Unclassified,,0,,Not checked,,Read by OCR,12,18748,
GEM/2025/B/6049808,7636436.0,Unclassified,,0,,Not checked,,Read by OCR,24,52983,
GEM/2025/B/6065000,7654379.0,Unclassified,,0,,Not checked,,Read by OCR,1,1509,
GEM/2025/B/6066061,7655587.0,Unclassified,,0,,Not checked,,Read by OCR,1,305,
GEM/2025/B/6067981,7657745.0,TXD — Textile Department,IS 15138; IS 14887; IS 1155; IS 460,4,,No,,Read by OCR,6,8138,
GEM/2025/B/6064372,7653643.0,Unclassified,,0,,Not checked,,Read by OCR,16,19809,
GEM/2025/B/6072440,7662903.0,Unclassified,,0,,Not checked,,Not extractable,2,135,
GEM/2025/B/6069361,7659354.0,TXD — Textile Department,IS 1895; IS 171; IS 1954; IS 1964; IS 1963; IS 1969; IS 2454; IS 764; IS 1390; IS 1383,10,IS 2454 (Withdrawn); IS 764 (Withdrawn),Yes,,Read by OCR,6,7155,
GEM/2025/B/6075463,7666452.0,Unclassified,,0,,Not checked,,Read by OCR,2,2208,
GEM/2025/B/6067329,7657004.0,Unclassified,,0,,Not checked,,Read by OCR,14,13701,
GEM/2025/B/6079221,7670936.0,Unclassified,,0,,Not checked,,Read by OCR,2,3064,
GEM/2025/B/6079428,7671185.0,Unclassified,,0,,Not checked,,Read by OCR,1,2224,
GEM/2025/B/6079875,7671724.0,Unclassified,,0,,Not checked,,Not extractable,1,82,
GEM/2025/B/6080622,7672632.0,Unclassified,,0,,Not checked,,Not extractable,1,149,
GEM/2025/B/6064156,7653398.0,TXD — Textile Department,IS 1099; IS 1079,2,,No,,Read by OCR,29,67402,
GEM/2025/B/6081541,7673790.0,Unclassified,,0,,Not checked,,Read by OCR,2,989,
GEM/2025/B/6082073,7674475.0,Unclassified,,0,,Not checked,,Read by OCR,1,1668,
GEM/2025/B/6062020,7650830.0,Unclassified,,0,,Not checked,,Read by OCR,36,112827,
GEM/2025/B/6082581,7675095.0,Unclassified,,0,,Not checked,,Read by OCR,1,796,
GEM/2025/B/6079480,7671249.0,Unclassified,,0,,Not checked,,Read by OCR,12,23141,
GEM/2025/B/6083859,7676616.0,Unclassified,,0,,Not checked,,Read by OCR,1,1429,
GEM/2025/B/6079027,7670716.0,Unclassified,,0,,Not checked,,Read by OCR,14,22527,
GEM/2025/B/6083949,7676721.0,Unclassified,,0,,Not checked,,Read by OCR,1,975,
GEM/2025/B/6084170,7677004.0,Unclassified,,0,,Not checked,,Read by OCR,1,2844,
GEM/2025/B/6084072,7676887.0,Unclassified,,0,,Not checked,,Read by OCR,2,2252,
GEM/2025/B/6085048,7678061.0,Unclassified,,0,,Not checked,,Not extractable,1,66,
GEM/2025/B/6085606,7678699.0,Unclassified,,0,,Not checked,,Read by OCR,1,389,
GEM/2025/B/6084595,7677525.0,Unclassified,,0,,Not checked,,Read by OCR,3,3492,
GEM/2025/B/6082038,7674435.0,Unclassified,,0,,Not checked,,Read by OCR,16,37927,
GEM/2025/B/6083071,7675686.0,Unclassified,,0,,Not checked,,Read by OCR,10,15478,
GEM/2025/B/6088041,7681486.0,Unclassified,,0,,Not checked,,Read by OCR,1,1916,
GEM/2025/B/6089084,7682664.0,Unclassified,,0,,Not checked,,Read by OCR,1,476,
GEM/2025/B/6089448,7683093.0,Unclassified,,0,,Not checked,,Read by OCR,1,1795,
GEM/2025/B/6089639,7683310.0,Unclassified,,0,,Not checked,,Read by OCR,2,2596,
GEM/2025/B/6087155,7680456.0,Unclassified,,0,,Not checked,,Read by OCR,4,8629,
GEM/2025/B/6090174,7683912.0,Unclassified,,0,,Not checked,,Read by OCR,2,4387,
GEM/2025/B/6091102,7684977.0,Unclassified,,0,,Not checked,,Read by OCR,1,545,
