Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 9103,IS 1199,7,4,3,0.429,14.357,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 1285,IS 7088,7,3,3,0.429,19.143,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 9103,IS 516,7,4,3,0.429,14.357,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 1285,IS 4925,7,3,3,0.429,19.143,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 9103,IS 4925,7,3,3,0.429,19.143,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 9103,IS 1868,7,6,3,0.429,9.571,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 1285,IS 456,7,11,3,0.429,5.221,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 1285,IS 9103,7,7,3,0.429,8.204,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 1285,IS 1489,7,8,3,0.429,7.179,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 8112,IS 1038,7,3,3,0.429,19.143,Cited alongside IS 8112 in 3 of 7 comparable tenders
IS 16107,IS 15885 (Part 2),14,10,6,0.429,5.743,Cited alongside IS 16107 in 6 of 14 comparable tenders
IS 16107,IS 10322 (Part 1),14,11,6,0.429,5.221,Cited alongside IS 16107 in 6 of 14 comparable tenders
IS 8112,IS 2190,7,3,3,0.429,19.143,Cited alongside IS 8112 in 3 of 7 comparable tenders
IS 1285,IS 612,7,3,3,0.429,19.143,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 1285,IS 6057,7,3,3,0.429,19.143,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 875,IS 456,7,11,3,0.429,5.221,Cited alongside IS 875 in 3 of 7 comparable tenders
IS 16107 (Part 2),IS 16103,7,9,3,0.429,6.381,Cited alongside IS 16107 (Part 2) in 3 of 7 comparable tenders
IS 16107,IS 16105,14,9,6,0.429,6.381,Cited alongside IS 16107 in 6 of 14 comparable tenders
IS 8112,IS 2386,7,3,3,0.429,19.143,Cited alongside IS 8112 in 3 of 7 comparable tenders
IS 9103,IS 7088,7,3,3,0.429,19.143,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 8130,IS 7098,22,18,9,0.409,3.045,Cited alongside IS 8130 in 9 of 22 comparable tenders
IS 8130,IS 10418,22,9,9,0.409,6.091,Cited alongside IS 8130 in 9 of 22 comparable tenders
IS 5831,IS 10418,20,9,8,0.4,5.956,Cited alongside IS 5831 in 8 of 20 comparable tenders
IS 5831,IS 3975,20,8,8,0.4,6.7,Cited alongside IS 5831 in 8 of 20 comparable tenders
IS 16108,IS 16107 (Part 2),10,7,4,0.4,7.657,Cited alongside IS 16108 in 4 of 10 comparable tenders
IS 9968,IS 1554,10,14,4,0.4,3.829,Cited alongside IS 9968 in 4 of 10 comparable tenders
IS 5831,IS 7098,20,18,8,0.4,2.978,Cited alongside IS 5831 in 8 of 20 comparable tenders
IS 5831,IS 10810,20,8,8,0.4,6.7,Cited alongside IS 5831 in 8 of 20 comparable tenders
IS 9968,IS 8130,10,22,4,0.4,2.436,Cited alongside IS 9968 in 4 of 10 comparable tenders
IS 15885 (Part 2),IS 16103,10,9,4,0.4,5.956,Cited alongside IS 15885 (Part 2) in 4 of 10 comparable tenders
IS 15885 (Part 2),IS 16104,10,8,4,0.4,6.7,Cited alongside IS 15885 (Part 2) in 4 of 10 comparable tenders
IS 10322,IS 10322 (Part 5),23,17,9,0.391,3.084,Cited alongside IS 10322 in 9 of 23 comparable tenders
IS 10322,IS 10322 (Part 1),23,11,9,0.391,4.767,Cited alongside IS 10322 in 9 of 23 comparable tenders
IS 7098,IS 694,18,48,7,0.389,1.086,Cited alongside IS 7098 in 7 of 18 comparable tenders
IS 16106,IS 10322 (Part 1),18,11,7,0.389,4.737,Cited alongside IS 16106 in 7 of 18 comparable tenders
IS 7098,IS 10418,18,9,7,0.389,5.79,Cited alongside IS 7098 in 7 of 18 comparable tenders
IS 7098,IS 3975,18,8,7,0.389,6.514,Cited alongside IS 7098 in 7 of 18 comparable tenders
IS 16106,IS 16104,18,8,7,0.389,6.514,Cited alongside IS 16106 in 7 of 18 comparable tenders
IS 16102,IS 10322 (Part 5),13,17,5,0.385,3.032,Cited alongside IS 16102 in 5 of 13 comparable tenders
IS 16102,IS 16106,13,18,5,0.385,2.863,Cited alongside IS 16102 in 5 of 13 comparable tenders
IS 10810,IS 4905,8,4,3,0.375,12.562,Cited alongside IS 10810 in 3 of 8 comparable tenders
IS 1489,IS 7088,8,3,3,0.375,16.75,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 1489,IS 1868,8,6,3,0.375,8.375,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 1489,IS 4925,8,3,3,0.375,16.75,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 3043,IS 1554,8,14,3,0.375,3.589,Cited alongside IS 3043 in 3 of 8 comparable tenders
IS 3975,IS 1255,8,4,3,0.375,12.562,Cited alongside IS 3975 in 3 of 8 comparable tenders
IS 1489,IS 733,8,6,3,0.375,8.375,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 1489,IS 612,8,3,3,0.375,16.75,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 10810,IS 9968,8,10,3,0.375,5.025,Cited alongside IS 10810 in 3 of 8 comparable tenders
IS 16104,IS 16102,8,13,3,0.375,3.865,Cited alongside IS 16104 in 3 of 8 comparable tenders
IS 3975,IS 694,8,48,3,0.375,1.047,Cited alongside IS 3975 in 3 of 8 comparable tenders
IS 16104,IS 16103,8,9,3,0.375,5.583,Cited alongside IS 16104 in 3 of 8 comparable tenders
IS 3975,IS 4905,8,4,3,0.375,12.562,Cited alongside IS 3975 in 3 of 8 comparable tenders
IS 3043,IS 4985,8,12,3,0.375,4.188,Cited alongside IS 3043 in 3 of 8 comparable tenders
IS 13592,IS 277,8,4,3,0.375,12.562,Cited alongside IS 13592 in 3 of 8 comparable tenders
IS 13592,IS 694,8,48,3,0.375,1.047,Cited alongside IS 13592 in 3 of 8 comparable tenders
IS 13592,IS 12701,8,3,3,0.375,16.75,Cited alongside IS 13592 in 3 of 8 comparable tenders
